MODE,Size,N,C,H,W,Elems,iters,graph_create_ms,launch_ms,total_ms,launch_us/iter,total_us/iter,cpu_idle_us/iter
NoGraph,Small ,1,32,32,32,32768,100,0.0,0.696417,0.702478,6.964170,7.024780,0.060610
NoGraph,Small ,1,32,32,32,32768,1000,0.0,6.972180,6.978552,6.972180,6.978552,0.006372
NoGraph,Small ,1,32,32,32,32768,10000,0.0,69.056436,69.062778,6.905644,6.906278,0.000634
NoGraph,Medium,8,64,112,112,6422528,100,0.0,0.689915,1.256968,6.899150,12.569680,5.670530
NoGraph,Medium,8,64,112,112,6422528,1000,0.0,6.839762,12.459214,6.839762,12.459214,5.619452
NoGraph,Medium,8,64,112,112,6422528,10000,0.0,118.100397,124.460719,11.810040,12.446072,0.636032
NoGraph,Big   ,16,64,224,224,51380224,100,0.0,0.687259,14.576466,6.872590,145.764660,138.892070
NoGraph,Big   ,16,64,224,224,51380224,1000,0.0,71.231707,145.660813,71.231707,145.660813,74.429106
NoGraph,Big   ,16,64,224,224,51380224,10000,0.0,1382.127242,1456.554153,138.212724,145.655415,7.442691
