MODE,Size,N,C,H,W,VecLen,iters,graph_create_ms,launch_ms,total_ms,launch_us/iter,total_us/iter,cpu_idle_us/iter
Graph,Small ,1,32,32,32,32768,100,0.163055,0.269346,0.284003,2.693460,2.840030,0.146570
Graph,Small ,1,32,32,32,32768,1000,0.163055,2.652226,2.771510,2.652226,2.771510,0.119284
Graph,Small ,1,32,32,32,32768,10000,0.163055,26.333945,27.769688,2.633395,2.776969,0.143574
Graph,Medium,8,64,112,112,6422528,100,0.017533,0.250791,6.054840,2.507910,60.548400,58.040490
Graph,Medium,8,64,112,112,6422528,1000,0.017533,2.527461,60.480597,2.527461,60.480597,57.953136
Graph,Medium,8,64,112,112,6422528,10000,0.017533,543.183600,605.008179,54.318360,60.500818,6.182458
Graph,Big   ,16,64,224,224,51380224,100,0.014216,0.249478,45.419742,2.494780,454.197420,451.702640
Graph,Big   ,16,64,224,224,51380224,1000,0.014216,2.501894,454.081537,2.501894,454.081537,451.579643
Graph,Big   ,16,64,224,224,51380224,10000,0.014216,4076.474373,4540.495177,407.647437,454.049518,46.402080
